City_ID,City,Country,Max_Temp,Weather_Description,Lat,Lng,Hotel Name
0,cape town,ZA,64.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
2,pacific grove,US,61.0,clear sky,36.62,-121.92,Lovers Point Inn
12,port alfred,ZA,68.09,overcast clouds,-33.59,26.89,The Halyards Hotel
18,thompson,CA,26.6,light snow,55.74,-97.86,Burntwood Hotel
19,east london,ZA,67.42,broken clouds,-33.02,27.91,Tu Casa
22,xam nua,LA,69.17,overcast clouds,20.42,104.04,Phoudy Guesthouse
23,port elizabeth,ZA,66.2,mist,-33.92,25.57,39 On Nile Guest House
24,ushuaia,AR,42.8,scattered clouds,-54.8,-68.3,Albatros Hotel
25,barrow,US,33.8,mist,71.29,-156.79,King Eider Inn
26,port alfred,ZA,68.09,overcast clouds,-33.59,26.89,The Halyards Hotel
27,busselton,AU,60.01,clear sky,-33.65,115.33,Observatory Guest House
29,monterey,US,60.8,overcast clouds,36.25,-121.25,
30,ushuaia,AR,42.8,scattered clouds,-54.8,-68.3,Albatros Hotel
31,mingrelskaya,RU,48.99,clear sky,45.01,38.34,
32,ushuaia,AR,42.8,scattered clouds,-54.8,-68.3,Albatros Hotel
34,busselton,AU,60.01,clear sky,-33.65,115.33,Observatory Guest House
35,bluff,NZ,64.0,light rain,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
37,busselton,AU,60.01,clear sky,-33.65,115.33,Observatory Guest House
38,beni,CD,64.15,light rain,0.5,29.47,Albertine hotel
39,sitka,US,37.4,broken clouds,57.05,-135.33,Westmark Sitka
40,chapais,CA,30.2,overcast clouds,49.78,-74.85,Hôtel Opémiska
41,hermanus,ZA,63.0,broken clouds,-34.42,19.23,Misty Waves Boutique Hotel
46,khani,GE,46.4,clear sky,41.96,42.96,კურორტი ზეკარი/Resort Zekari
47,new norfolk,AU,68.0,overcast clouds,-42.78,147.06,The Shingles Riverside Cottages
49,albany,US,59.0,overcast clouds,42.6,-73.97,
51,bredasdorp,ZA,64.4,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
52,hobart,AU,68.0,broken clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
54,cape town,ZA,64.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
55,khasan,RU,45.28,clear sky,42.43,130.64,Krako Motorkár
57,motupe,PE,64.0,light rain,-6.15,-79.71,Hostal MALU
58,ushuaia,AR,42.8,scattered clouds,-54.8,-68.3,Albatros Hotel
59,albany,US,59.0,overcast clouds,42.6,-73.97,
60,ushuaia,AR,42.8,scattered clouds,-54.8,-68.3,Albatros Hotel
61,ancud,CL,46.0,broken clouds,-41.87,-73.82,Hotel Arena Gruesa
62,beloha,MG,68.59,clear sky,-25.17,45.05,
64,tuatapere,NZ,64.0,moderate rain,-46.13,167.68,Ron and Tony's Bed & Breakfast
65,thompson,CA,26.6,light snow,55.74,-97.86,Burntwood Hotel
66,hit,IQ,69.57,clear sky,33.64,42.83,Aboody Alhachem
67,paita,PE,64.87,clear sky,-5.09,-81.11,Hotel Náutico de Paita
70,dandong,CN,47.64,clear sky,40.13,124.39,Yiranju Farmstay
71,mutuipe,BR,69.55,broken clouds,-13.23,-39.5,Hotel Portal do Vale
