,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,biu,10.61,12.19,73.87,26,34,3.47,NG,2020-10-23 00:00:19
1,barrow,71.29,-156.79,33.8,99,90,8.05,US,2020-10-23 00:00:20
2,broken hill,-31.95,141.43,71.6,53,98,16.11,AU,2020-10-22 23:59:01
3,caala,-12.85,15.56,60.93,84,78,3.58,AO,2020-10-23 00:00:21
4,portland,45.52,-122.68,57.0,50,75,9.17,US,2020-10-22 23:57:38
5,mataura,-46.19,168.86,64.0,56,88,7.0,NZ,2020-10-23 00:00:22
6,melfort,52.87,-104.62,24.8,73,1,6.93,CA,2020-10-23 00:00:23
7,cape town,-33.93,18.42,64.99,93,0,9.17,ZA,2020-10-22 23:57:47
8,avarua,-21.21,-159.78,80.6,78,99,14.99,CK,2020-10-23 00:00:25
9,atuona,-9.8,-139.03,78.31,69,13,12.75,PF,2020-10-23 00:00:26
10,mataura,-46.19,168.86,64.0,56,88,7.0,NZ,2020-10-23 00:00:27
11,tanete,-3.94,119.78,83.7,64,0,5.06,ID,2020-10-23 00:00:28
12,kamensk-uralskiy,56.42,61.93,24.78,93,66,12.41,RU,2020-10-23 00:00:29
13,fukue,32.69,128.84,59.0,58,40,20.8,JP,2020-10-23 00:00:30
14,pulaski,34.77,-92.3,80.6,57,20,6.93,US,2020-10-23 00:00:32
15,los llanos de aridane,28.66,-17.92,68.0,60,0,6.93,ES,2020-10-23 00:00:33
16,pueblo,38.25,-104.61,53.6,42,33,18.34,US,2020-10-22 23:56:18
17,cherskiy,68.75,161.3,19.13,94,82,3.67,RU,2020-10-23 00:00:35
18,castro,-24.79,-50.01,59.74,89,9,10.71,BR,2020-10-22 23:57:59
19,jamestown,42.1,-79.24,66.2,82,20,3.36,US,2020-10-22 23:56:27
20,torbay,47.67,-52.73,52.0,76,5,26.4,CA,2020-10-23 00:00:36
21,jiuquan,39.74,98.52,37.0,65,0,5.12,CN,2020-10-23 00:00:37
22,narsaq,60.92,-46.05,23.0,57,0,6.93,GL,2020-10-23 00:00:38
23,isangel,-19.55,169.27,77.0,94,90,5.82,VU,2020-10-23 00:00:38
24,luena,-11.78,19.92,63.95,76,53,1.07,AO,2020-10-23 00:00:39
25,mataura,-46.19,168.86,64.0,56,88,7.0,NZ,2020-10-23 00:00:27
26,mahebourg,-20.41,57.7,71.6,88,75,11.41,MU,2020-10-23 00:00:40
27,aranos,-24.13,19.12,74.91,24,33,13.85,NA,2020-10-23 00:00:41
28,auki,-8.77,160.7,85.53,66,99,2.84,SB,2020-10-23 00:00:41
29,port alfred,-33.59,26.89,68.02,91,22,17.65,ZA,2020-10-22 23:58:34
30,airai,-8.93,125.41,72.66,71,62,0.49,TL,2020-10-23 00:00:42
31,qorveh,35.17,47.8,42.01,64,0,1.54,IR,2020-10-23 00:00:43
32,bredasdorp,-34.53,20.04,64.4,93,82,4.7,ZA,2020-10-23 00:00:44
33,vardo,70.37,31.11,37.98,83,100,30.8,NO,2020-10-23 00:00:44
34,bluff,-46.6,168.33,64.0,56,100,7.0,NZ,2020-10-23 00:00:45
35,barrow,71.29,-156.79,33.8,99,90,8.05,US,2020-10-23 00:00:20
36,korla,41.76,86.15,46.42,47,0,5.39,CN,2020-10-23 00:00:45
37,chernyshevskiy,63.01,112.47,33.76,92,100,11.39,RU,2020-10-23 00:00:46
38,new norfolk,-42.78,147.06,61.0,54,64,1.01,AU,2020-10-23 00:00:47
39,moree,-29.47,149.85,75.2,60,90,21.92,AU,2020-10-22 23:58:31
40,namatanai,-3.67,152.43,84.79,62,41,9.1,PG,2020-10-23 00:00:47
41,thompson,55.74,-97.86,28.4,68,90,11.41,CA,2020-10-22 23:57:20
42,atuona,-9.8,-139.03,78.31,69,13,12.75,PF,2020-10-23 00:00:26
43,port moresby,-9.44,147.18,87.8,66,40,2.33,PG,2020-10-23 00:00:49
44,nanortalik,60.14,-45.24,28.85,84,0,7.07,GL,2020-10-22 23:57:01
45,thompson,55.74,-97.86,28.4,68,90,11.41,CA,2020-10-22 23:57:20
46,punta arenas,-53.15,-70.92,50.0,81,0,16.11,CL,2020-10-22 23:57:26
47,samarai,-10.62,150.67,82.02,78,87,7.74,PG,2020-10-23 00:00:51
48,sungurlu,40.17,34.37,59.16,48,0,4.09,TR,2020-10-23 00:00:51
49,bambous virieux,-20.34,57.76,71.6,88,75,11.41,MU,2020-10-22 23:57:00
50,carstairs,51.57,-114.1,14.0,81,93,1.99,CA,2020-10-23 00:00:53
51,cabo san lucas,22.89,-109.91,89.6,52,5,17.22,MX,2020-10-22 23:58:37
52,merauke,-8.47,140.33,83.19,68,25,6.91,ID,2020-10-23 00:00:54
53,dikson,73.51,80.55,22.28,97,94,7.9,RU,2020-10-23 00:00:54
54,ribeira grande,38.52,-28.7,65.03,70,19,8.34,PT,2020-10-23 00:00:55
55,hithadhoo,-0.6,73.08,83.14,75,9,14.92,MV,2020-10-23 00:00:55
56,bermeo,43.42,-2.72,61.0,87,0,4.7,ES,2020-10-23 00:00:56
57,altamont,42.21,-121.74,52.0,27,1,8.05,US,2020-10-23 00:00:57
58,barrow,71.29,-156.79,33.8,99,90,8.05,US,2020-10-23 00:00:20
59,castro,-24.79,-50.01,59.74,89,9,10.71,BR,2020-10-22 23:57:59
60,ushuaia,-54.8,-68.3,44.6,70,40,21.92,AR,2020-10-22 23:59:36
61,umm lajj,25.02,37.27,84.16,24,0,11.25,SA,2020-10-23 00:00:59
62,luderitz,-26.65,15.16,58.51,83,0,8.03,NA,2020-10-23 00:00:59
63,stamford,41.05,-73.54,66.99,88,90,3.47,US,2020-10-23 00:01:00
64,rikitea,-23.12,-134.97,74.7,79,94,14.7,PF,2020-10-23 00:01:01
65,hambantota,6.12,81.12,78.66,83,68,14.81,LK,2020-10-22 23:57:37
66,victoria,22.29,114.16,73.0,56,100,1.01,HK,2020-10-22 23:57:16
67,nisia floresta,-6.09,-35.21,77.0,94,75,4.7,BR,2020-10-23 00:01:02
68,qaanaaq,77.48,-69.36,20.66,94,100,11.5,GL,2020-10-22 23:56:10
69,waddan,29.16,16.14,59.94,73,0,8.97,LY,2020-10-23 00:01:03
70,hermanus,-34.42,19.23,64.0,85,59,7.0,ZA,2020-10-23 00:01:04
71,port alfred,-33.59,26.89,68.02,91,22,17.65,ZA,2020-10-22 23:58:34
72,hobart,-42.88,147.33,61.0,62,90,9.17,AU,2020-10-23 00:00:54
73,fontanafredda,45.97,12.57,55.99,92,73,3.09,IT,2020-10-23 00:01:05
74,dikson,73.51,80.55,22.28,97,94,7.9,RU,2020-10-23 00:00:54
75,cidreira,-30.18,-50.21,66.07,86,99,24.56,BR,2020-10-23 00:01:07
76,rikitea,-23.12,-134.97,74.7,79,94,14.7,PF,2020-10-23 00:01:01
77,khasan,42.43,130.64,41.23,66,91,23.13,RU,2020-10-23 00:01:07
78,praia da vitoria,38.73,-27.07,60.01,100,20,9.71,PT,2020-10-22 23:58:30
79,fort beaufort,-32.77,26.63,67.51,58,13,3.47,ZA,2020-10-23 00:01:08
80,puerto ayora,-0.74,-90.35,69.01,92,77,5.01,EC,2020-10-23 00:01:09
81,bondo,3.81,23.69,68.83,91,95,0.29,CD,2020-10-23 00:01:09
82,cidreira,-30.18,-50.21,66.07,86,99,24.56,BR,2020-10-23 00:01:07
83,krasnoselkup,65.7,82.47,7.66,95,100,8.63,RU,2020-10-23 00:01:10
84,hilo,19.73,-155.09,89.6,52,40,13.87,US,2020-10-23 00:00:26
85,dombarovskiy,50.76,59.54,26.31,94,0,10.04,RU,2020-10-23 00:01:11
86,cabo san lucas,22.89,-109.91,89.6,52,5,17.22,MX,2020-10-22 23:58:37
87,salalah,17.02,54.09,77.0,50,0,3.36,OM,2020-10-23 00:01:12
88,harper,4.38,-7.72,77.34,88,95,5.48,LR,2020-10-23 00:01:13
89,colac,-38.33,143.58,59.0,99,100,2.28,AU,2020-10-23 00:01:15
90,ati,13.22,18.34,83.98,14,9,9.33,TD,2020-10-23 00:01:16
91,rikitea,-23.12,-134.97,74.7,79,94,14.7,PF,2020-10-23 00:01:01
92,vestmanna,62.16,-7.17,42.8,81,100,19.46,FO,2020-10-23 00:01:17
93,tuktoyaktuk,69.45,-133.04,26.6,92,90,27.51,CA,2020-10-23 00:01:17
94,hilo,19.73,-155.09,89.6,52,40,13.87,US,2020-10-23 00:00:26
95,atuona,-9.8,-139.03,78.31,69,13,12.75,PF,2020-10-23 00:00:26
96,rikitea,-23.12,-134.97,74.7,79,94,14.7,PF,2020-10-23 00:01:01
97,luderitz,-26.65,15.16,58.51,83,0,8.03,NA,2020-10-23 00:00:59
98,rikitea,-23.12,-134.97,74.7,79,94,14.7,PF,2020-10-23 00:01:01
99,jamestown,42.1,-79.24,66.2,82,20,3.36,US,2020-10-22 23:56:27
100,srednekolymsk,67.45,153.68,16.93,91,80,3.87,RU,2020-10-23 00:01:21
101,mataura,-46.19,168.86,64.0,56,88,7.0,NZ,2020-10-23 00:00:27
102,resavica,44.04,21.58,51.71,47,0,3.06,RS,2020-10-23 00:01:22
103,punta arenas,-53.15,-70.92,50.0,81,0,16.11,CL,2020-10-22 23:57:26
104,carnarvon,-24.87,113.63,69.8,77,0,11.41,AU,2020-10-23 00:01:23
105,jamestown,42.1,-79.24,66.2,82,20,3.36,US,2020-10-22 23:56:27
106,shelburne,44.08,-80.2,50.0,100,90,5.82,CA,2020-10-23 00:01:24
107,dingle,11.0,122.67,82.81,81,62,8.12,PH,2020-10-23 00:01:25
108,bubaque,11.28,-15.83,83.26,80,10,10.2,GW,2020-10-23 00:01:25
109,shetpe,44.17,52.12,37.04,80,0,3.22,KZ,2020-10-23 00:01:26
110,tuktoyaktuk,69.45,-133.04,26.6,92,90,27.51,CA,2020-10-23 00:01:17
111,bredasdorp,-34.53,20.04,64.4,93,82,4.7,ZA,2020-10-23 00:00:44
112,haines junction,60.75,-137.51,25.07,78,0,2.82,CA,2020-10-22 23:58:51
113,mihona,26.28,78.98,73.22,36,0,2.06,IN,2020-10-23 00:01:28
114,parambu,-6.21,-40.69,80.02,48,49,2.59,BR,2020-10-23 00:01:29
115,dikson,73.51,80.55,22.28,97,94,7.9,RU,2020-10-23 00:00:54
116,atuona,-9.8,-139.03,78.31,69,13,12.75,PF,2020-10-23 00:00:26
117,ponta do sol,32.67,-17.1,66.2,63,20,9.17,PT,2020-10-23 00:01:30
118,georgetown,5.41,100.34,77.0,88,20,3.36,MY,2020-10-23 00:01:30
119,teavaro,-17.5,-149.77,80.6,65,75,2.24,PF,2020-10-23 00:01:31
120,hokitika,-42.72,170.97,55.36,73,18,5.03,NZ,2020-10-23 00:01:31
121,bandarbeyla,9.49,50.81,78.94,68,79,4.25,SO,2020-10-23 00:01:32
122,hilo,19.73,-155.09,89.6,52,40,13.87,US,2020-10-23 00:00:26
123,lata,40.16,-8.33,57.0,93,20,4.7,PT,2020-10-23 00:01:33
124,mehamn,71.04,27.85,36.46,83,100,26.02,NO,2020-10-23 00:01:34
125,qaanaaq,77.48,-69.36,20.66,94,100,11.5,GL,2020-10-22 23:56:10
126,namatanai,-3.67,152.43,84.79,62,41,9.1,PG,2020-10-23 00:00:47
